Data extracted on 01/12/2021 00:07:13 from [ESTAT];;;;;;;;;;;;;;;;;;;;
Dataset: ;Gini coefficient of equivalised disposable income - EU-SILC survey [ILC_DI12$DEFAULTVIEW];;;;;;;;;;;;;;;;;;;
Last updated: ;19/11/2021 23:00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;
Income and living conditions indicator;;Gini coefficient (scale from 0 to 100);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);30,8;;30,5;;30,5;;31,0;e;31,0;e;30,8;e;30,6;e;30,8;e;30,7;e;:;
European Union - 27 countries (from 2020);30,5;;30,4;;30,6;;30,9;e;30,8;e;30,6;e;30,3;e;30,4;e;30,2;e;:;
European Union - 28 countries (2013-2020);30,8;;30,5;;30,5;;31,0;;31,0;;30,8;;30,6;;30,8;;30,7;e;:;
European Union - 27 countries (2007-2013);30,8;;30,5;;30,5;;31,0;;31,0;;30,8;;30,6;;30,8;;30,2;e;:;
European Union - 25 countries (2004-2006);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 15 countries (1995-2004);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
New Member States - 10 countries (2004-2006);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);30,6;;30,4;;30,6;;30,9;e;30,7;e;30,7;e;30,4;e;30,6;e;30,2;e;:;
Euro area - 19 countries  (from 2015);30,6;;30,5;;30,7;;31,0;;30,7;;30,7;;30,4;;30,6;;30,2;;:;
Euro area - 18 countries (2014);30,6;;30,4;;30,7;;30,9;;30,7;;30,7;;30,3;;30,6;;30,2;;:;
Belgium;26,3;;26,5;;25,9;;25,9;;26,2;;26,3;;26,1;;25,7;;25,1;b;25,4;b
Bulgaria;35,0;;33,6;;35,4;;35,4;;37,0;;37,7;b;40,2;;39,6;;40,8;;40,0;
Czechia;25,2;;24,9;;24,6;;25,1;;25,0;;25,1;;24,5;;24,0;;24,0;;24,2;
Denmark;26,6;b;26,5;;26,8;;27,7;;27,4;;27,7;;27,6;;27,8;;27,5;;27,3;b
Germany (until 1990 former territory of the FRG);29,0;;28,3;;29,7;;30,7;;30,1;;29,5;;29,1;;31,1;;29,7;;34,4;b
Estonia;31,9;;32,5;;32,9;;35,6;b;34,8;;32,7;;31,6;;30,6;;30,5;;30,5;
