Data extracted on 01/12/2021 00:45:31 from [ESTAT];;;;;;
Dataset: ;Recorded offences by offence category - police data [CRIM_OFF_CAT__custom_1681093];;;;;
Last updated: ;14/09/2021 23:00;;;;;
;;;;;;
Time frequency;;Annual;;;;
Unit of measure;;Per hundred thousand inhabitants;;;;
;;;;;;
TIME;2019;2019;2019;2019;2019;2019
ICCS (Labels);Intentional homicide;Assault;Sexual violence;Rape;Sexual assault;Theft
GEO (Labels);;;;;;
Belgium;1,27;556,36;77,45;33,33;44,12;1.951,96
Bulgaria;1,14;39,54;8,64;1,87;:;473,88
Czechia;0,76;43,98;14,65;6,41;8,12;561,98
Denmark;0,91;33,90;84,31;35,33;48,98;2.928,71
Germany (until 1990 former territory of the FRG);0,71;160,31;49,05;11,53;37,52;1.235,04
Estonia;1,74;5,89;26,80;15,32;11,47;513,58
Ireland;0,71;102,18;67,86;21,14;36,17;1.335,72
Greece;0,71;14,95;2,83;1,56;0,65;583,48
Spain;0,71;42,73;27,76;3,99;23,77;374,65
France;1,28;450,52;82,21;34,59;47,62;1.307,60
Croatia;0,81;18,06;21,05;11,58;8,61;291,00
Italy;0,52;110,14;9,03;:;:;1.515,55
Cyprus;1,48;20,09;1,94;1,83;0,11;73,30
Latvia;4,74;33,28;15,78;8,91;7,08;682,88
Lithuania;3,01;5,44;6,80;3,36;3,44;390,17
Luxembourg;0,65;103,76;48,22;18,90;:;:
Hungary;0,59;:;3,94;3,90;:;582,92
Malta;0,81;40,52;24,11;6,28;17,83;1.343,51
Netherlands;0,63;27,77;24,45;11,57;12,87;1.352,58
Austria;0,84;43,29;50,90;18,92;26,64;1.302,92
Poland;0,54;16,89;9,38;1,87;1,52;270,15
Portugal;0,71;6,43;26,28;4,19;22,09;799,10
Romania;1,31;1,46;9,85;8,04;1,81;494,19
Slovenia;0,48;75,21;22,49;1,78;1,97;855,97
Slovakia;1,39;28,00;12,77;1,78;1,43;290,16
Finland;1,59;28,71;72,65;27,38;45,27;2.008,82
Sweden;1,09;52,04;195,11;80,85;108,91;3.020,50
Iceland;0,28;27,17;184,32;60,23;19,89;973,69
Liechtenstein;:;198,03;15,63;2,61;:;463,81
Norway;0,53;39,96;95,06;41,23;46,75;1.774,40
Switzerland;0,54;7,46;31,86;7,95;23,91;1.602,36
England and Wales;:;:;:;:;:;:
Scotland;:;:;:;:;:;:
Northern Ireland (UK);:;:;:;:;:;:
Montenegro;3,38;18,48;5,95;0,64;4,50;66,38
North Macedonia;:;:;:;:;:;:
Albania;2,03;5,52;5,38;2,69;2,69;168,84
Serbia;1,15;16,24;8,04;1,67;6,36;262,11
Turkey;:;:;:;:;10,45;:
Bosnia and Herzegovina;:;:;:;:;:;:
Kosovo (under United Nations Security Council Resolution 1244/99);1,28;15,31;8,52;2,78;3,40;269,26
;;;;;;
Special value;;;;;;
:;not available;;;;;
